hu,0.111305%
hv,0.000104%
hw,0.002540%
hx,0.000000%
hy,0.224453%
hz,0.000000%
ia,0.206222%
ib,0.072231%
ic,0.355243%
id,0.253958%
ie,0.360879%
if,0.222122%
ig,0.241363%
ih,0.000765%
ii,0.018197%
ij,0.000000%
ik,0.083191%
il,0.540762%
im,0.352250%
in,1.879271%
io,0.347240%
ip,0.071153%
iq,0.002818%
ir,0.417906%
is,1.285762%
it,1.032465%
iu,0.087784%
iv,0.196514%
iw,0.001183%
ix,0.015761%
iy,0.000000%
iz,0.024669%
ja,0.016562%
jb,0.000000%
jc,0.000000%
jd,0.000000%
je,0.051321%
jf,0.000000%
jg,0.000000%
jh,0.000000%
ji,0.000452%
jj,0.000000%
jk,0.000000%
jl,0.000000%
jm,0.000000%
jn,0.000000%
jo,0.048746%
jp,0.000000%
jq,0.000000%
jr,0.000000%
js,0.000000%
jt,0.000000%
ju,0.051842%
jv,0.000000%
jw,0.000000%
jx,0.000000%
jy,0.000000%
jz,0.000000%
ka,0.015379%
kb,0.000348%
kc,0.000035%
kd,0.000000%
ke,0.377510%
kf,0.002018%
kg,0.000000%
kh,0.000278%
ki,0.208796%
kj,0.000000%
kk,0.000000%
kl,0.015761%
km,0.000522%
kn,0.127692%
ko,0.003897%
kp,0.000070%
kq,0.000000%
kr,0.000870%
ks,0.066769%
kt,0.000139%
ku,0.000731%
kv,0.000035%
kw,0.001079%
kx,0.000000%
ky,0.003305%
kz,0.000000%
la,0.444071%
lb,0.014022%
lc,0.022929%
ld,0.371769%
le,0.848337%
lf,0.089350%
lg,0.002505%
lh,0.000209%
li,0.525627%
lj,0.000000%
lk,0.035698%
ll,1.086465%
lm,0.018997%
ln,0.002331%
lo,0.679797%
lp,0.023903%
lq,0.000035%
lr,0.005637%
ls,0.115619%
lt,0.083713%
lu,0.112766%
lv,0.035176%
lw,0.002714%
lx,0.000000%
ly,0.237188%
lz,0.000104%
ma,0.646047%
mb,0.089524%
mc,0.000035%
md,0.000000%
me,0.984067%
mf,0.010299%
mg,0.000035%
mh,0.000244%
mi,0.265440%
mj,0.000000%
mk,0.000000%
ml,0.005741%
mm,0.059984%
mn,0.019554%
mo,0.359348%
mp,0.126892%
mq,0.000000%
mr,0.007863%
ms,0.061098%
mt,0.000835%
mu,0.138026%
mv,0.000313%
mw,0.001774%
mx,0.000000%
my,0.466860%
mz,0.000000%
na,0.201942%
nb,0.016944%
nc,0.352076%
nd,1.554160%
ne,0.714765%
nf,0.042065%
ng,0.829966%
nh,0.007898%
ni,0.232665%
nj,0.010612%
nk,0.102954%
nl,0.047737%
nm,0.009116%
nn,0.073728%
no,0.916533%
np,0.003653%
nq,0.010612%
nr,0.026826%
ns,0.283603%
nt,0.745661%
nu,0.041335%
nv,0.018754%
nw,0.007794%
nx,0.000139%
ny,0.106921%
nz,0.005880%
oa,0.058871%
ob,0.075502%
oc,0.070492%
od,0.245817%
oe,0.044223%
of,0.721375%
og,0.037960%
oh,0.029227%
oi,0.082983%
oj,0.012039%
ok,0.094082%
ol,0.361471%
om,0.573642%
on,1.177171%
oo,0.405136%
op,0.129467%
oq,0.000731%
or,1.421492%
os,0.277096%
ot,0.662644%
ou,1.935637%
ov,0.201559%
ow,0.604747%
ox,0.009151%
oy,0.060436%
oz,0.004662%
pa,0.259665%
pb,0.000835%
pc,0.000870%
pd,0.000139%
pe,0.372813%
pf,0.000452%
pg,0.000348%
ph,0.071744%
pi,0.134129%
pj,0.000000%
pk,0.000731%
pl,0.160433%
pm,0.000522%
pn,0.000104%
po,0.257403%
pp,0.072788%
pq,0.000000%
pr,0.341777%
ps,0.031140%
pt,0.053060%
pu,0.078529%
pv,0.000035%
pw,0.000905%
px,0.000000%
py,0.023590%
pz,0.000000%
qa,0.000000%
qb,0.000000%
qc,0.000000%
qd,0.000000%
qe,0.000000%
qf,0.000000%
qg,0.000000%
qh,0.000000%
qi,0.000000%
qj,0.000000%
qk,0.000000%
ql,0.000000%
qm,0.000000%
qn,0.000000%
qo,0.000000%
qp,0.000000%
qq,0.000000%
qr,0.000000%
qs,0.000000%
qt,0.000000%
qu,0.125013%
qv,0.000000%
qw,0.000000%
qx,0.000000%
qy,0.000000%
qz,0.000000%
ra,0.486832%
rb,0.026269%
rc,0.104659%
rd,0.407920%
re,1.555030%
rf,0.030479%
rg,0.084514%
rh,0.006854%
ri,0.598554%
rj,0.002088%
rk,0.074180%
rl,0.092655%
rm,0.104590%
rn,0.131207%
ro,0.685294%
rp,0.028983%
rq,0.001009%
rr,0.132807%
rs,0.434398%
rt,0.390697%
ru,0.185171%
rv,0.075711%
rw,0.023973%
rx,0.000000%
ry,0.207231%
rz,0.000070%
sa,0.284333%
sb,0.025191%
sc,0.118124%
sd,0.016388%
se,0.903937%
sf,0.006437%
sg,0.005741%
sh,0.555271%
si,0.445219%
sj,0.000244%
sk,0.023173%
sl,0.064194%
sm,0.028461%
sn,0.007829%
so,0.484709%
sp,0.198950%
sq,0.003619%
sr,0.001322%
ss,0.352668%
st,1.123137%
su,0.224662%
sv,0.000070%
sw,0.107199%
sx,0.000000%
sy,0.024495%
sz,0.000000%
ta,0.365124%
tb,0.001009%
tc,0.050346%
td,0.000174%
te,0.877390%
tf,0.004871%
tg,0.000800%
th,3.956657%
ti,0.562021%
tj,0.000765%
tk,0.000000%
tl,0.122995%
tm,0.008977%
tn,0.012839%
to,1.028638%
tp,0.001183%
tq,0.000000%
tr,0.387948%
ts,0.170141%
tt,0.150761%
tu,0.167636%
tv,0.000035%
tw,0.068717%
tx,0.000070%
ty,0.139557%
tz,0.001392%
ua,0.041126%
ub,0.048224%
uc,0.222122%
ud,0.074493%
ue,0.171776%
uf,0.032080%
ug,0.142341%
uh,0.000000%
ui,0.074284%
uj,0.000035%
uk,0.042344%
ul,0.344109%
um,0.100797%
un,0.389584%
uo,0.012352%
up,0.135556%
uq,0.000000%
ur,0.805715%
us,0.662957%
ut,0.498766%
uu,0.000139%
uv,0.000626%
uw,0.000000%
ux,0.001670%
uy,0.004245%
uz,0.001148%
va,0.082461%
vb,0.000000%
vc,0.000000%
vd,0.000000%
ve,0.910792%
vf,0.000000%
vg,0.000000%
vh,0.000000%
vi,0.202812%
vj,0.000000%
vk,0.000000%
vl,0.000070%
vm,0.000000%
vn,0.000000%
vo,0.060262%
vp,0.000000%
vq,0.000000%
vr,0.000209%
vs,0.000000%
vt,0.000000%
vu,0.001879%
vv,0.000000%
vw,0.000000%
vx,0.000000%
vy,0.012247%
vz,0.000000%
wa,0.318814%
wb,0.002783%
wc,0.000174%
wd,0.005950%
we,0.497026%
wf,0.003131%
wg,0.000139%
wh,0.578443%
wi,0.692253%
wj,0.000000%
wk,0.000974%
wl,0.012073%
wm,0.000313%
wn,0.133433%
wo,0.334749%
wp,0.000035%
wq,0.000000%
wr,0.043805%
ws,0.055531%
wt,0.001148%
wu,0.000139%
wv,0.000000%
ww,0.000800%
wx,0.000000%
wy,0.001044%
wz,0.000000%
xa,0.007550%
xb,0.000000%
xc,0.018545%
xd,0.000000%
xe,0.051251%
xf,0.001983%
xg,0.000000%
xh,0.000870%
xi,0.038412%
xj,0.000000%
xk,0.000000%
xl,0.000139%
xm,0.000035%
xn,0.000000%
xo,0.000348%
xp,0.012595%
xq,0.000418%
xr,0.000000%
xs,0.000104%
xt,0.029470%
xu,0.000696%
xv,0.000035%
xw,0.000000%
xx,0.000000%
xy,0.000174%
xz,0.000000%
ya,0.017118%
yb,0.003410%
yc,0.003236%
yd,0.000835%
ye,0.149021%
yf,0.001601%
yg,0.000557%
yh,0.000522%
yi,0.021050%
yj,0.000000%
yk,0.000104%
yl,0.005984%
ym,0.015483%
yn,0.001670%
yo,0.804602%
yp,0.004802%
yq,0.000000%
yr,0.027557%
ys,0.080095%
yt,0.007307%
yu,0.000000%
yv,0.000313%
yw,0.001670%
yx,0.000104%
yy,0.000000%
yz,0.000035%
za,0.011204%
zb,0.000000%
zc,0.000000%
zd,0.000000%
ze,0.027209%
zf,0.000000%
zg,0.000000%
zh,0.000000%
zi,0.001879%
zj,0.000000%
zk,0.000000%
zl,0.000870%
zm,0.000000%
zn,0.000000%
zo,0.004836%
zp,0.000000%
zq,0.000000%
zr,0.000000%
zs,0.000000%
zt,0.000000%
zu,0.000244%
zv,0.000139%
zw,0.000452%
zx,0.000000%
zy,0.001044%
zz,0.001914%
